tweet_id,text,trust_expressed,anger_expressed,sadness_expressed,surprise_expressed,fear_expressed,disgust_expressed,joy_expressed,anticipation_expressed,trust_evoked,anger_evoked,sadness_evoked,surprise_evoked,fear_evoked,disgust_evoked,joy_evoked,anticipation_evoked
'1481522225534623744,"Nekada daaavno nosili su bedževe sa natpisom ""Čedo oženi me"".

Ja od danas nosim ovaj: 

#NisamPrijavila https://t.co/tD1r9cTJ8F https://t.co/2zWUHLlDQN",0.022,0.149,0.043,0.002,0.005,0.033,0.017,0.069,0.049,0.014,0.009,0.031,0.011,0.045,0.026,0.002
'1481414310836551681,"Pisala sam o #nisamprijavila 

Trenutno je objavljeno na radnoj verziji platforme. Ne zamerite. Inspiracija ne bira. Već neko vreme planiram da objavljujem svoja pisanija, ali eto tek sada skupljam hrabrosti. :)

https://t.co/UkCRFyxhjW",0.019,0.100,0.079,0.079,0.074,0.020,0.029,0.121,0.043,0.002,0.017,0.079,0.016,0.024,0.027,0.012
'1481407234219429891,"Ladno neki bolesnik uzima slike od nesrećne žene i kači ih na ovom profilu.
Ovaj nalog treba svi da prijave #NisamPrijavila https://t.co/o7BOCSDgGc",0.061,0.113,0.068,0.038,0.057,0.035,0.063,0.085,0.025,0.026,0.047,0.106,0.003,0.009,0.058,0.026
'1481406780102090756,@[user] Ovo je baš za hashtag #NisamPrijavila,0.012,0.115,0.041,0.040,0.064,0.038,0.143,0.069,0.077,0.026,0.047,0.057,0.076,0.005,0.034,0.001
'1481403860791013376,"@[user] Nije izbrisao. Ima u starijim objavama. Treba prijaviti svim evropskim institucijama koje se bore za prava žena i #NisamPrijavila, svim ambasadama. Mi smo prikazani kao fašisti a ova smeća rade to što rade.",0.003,0.126,0.094,0.007,0.027,0.030,0.130,0.069,0.002,0.002,0.047,0.079,0.026,0.004,0.074,0.003
'1481399970985095171,@[user] Obavijestiti sve evropske institucije koje se bave pravima žena i pokret #NisamPrijavila. Ovo glibavo stvorenje ne možeš uvrijediti vjeruj mi.,0.016,0.138,0.104,0.052,0.059,0.013,0.095,0.110,0.062,0.037,0.015,0.042,0.004,0.008,0.031,0.007
'1481396837445783558,"@[user] Nikola, prijavite ovo odmah na #NisamPrijavila i svim evropskim institucijama koje se bore za prava žena. Ništa nećemo uraditi samo tvitovanjem vjeruj mi.",0.002,0.119,0.096,0.025,0.034,0.011,0.110,0.074,0.026,0.004,0.000,0.082,0.028,0.054,0.038,0.040
'1481382525259948032,"@[user] @[user] @[user] @[user] Nije ni seljančura. Ljudi su van tog samodejo svijeta, ne prate, ne zanima ih, znaju da ima samodejo koji je sns bot i koji se sprda na račun #nisamprijavila pokreta. Kriv si jer si ih ohrabrio da prave te dodatne samodejo naloge, sjećam se govorio si im da prave.",0.046,0.104,0.044,0.056,0.048,0.030,0.105,0.042,0.029,0.001,0.010,0.050,0.076,0.010,0.015,0.024
'1481355702778359808,"Присуствоваћу предстојећем Простору корисника @[user]. Желиш ли и ти да се придружиш?
#NisamPrijavila

https://t.co/1QOAZpw8OC",0.031,0.088,0.031,0.018,0.115,0.007,0.136,0.072,0.042,0.037,0.020,0.033,0.003,0.053,0.011,0.013
'1481306488241074182,"Јесу ли сви све пријавили? 
Нешто замрло. 
#NisamPrijavila",0.023,0.140,0.071,0.018,0.112,0.034,0.041,0.045,0.002,0.006,0.015,0.029,0.024,0.007,0.083,0.009
'1481306363540250629,"@[user] #nisamPrijavila postoji uslov, vakcinisani evropejac, feministkinja ili pljuvač po svemu sto nisu zapadne vrednosti😊",0.003,0.027,0.083,0.017,0.024,0.005,0.068,0.029,0.090,0.005,0.004,0.049,0.011,0.028,0.020,0.026
'1481305313408131080,"#NisamPrijavila ćutu i pušu !

 :plus uživaju u ovoj mržnji i linču https://t.co/IWyI7zvMWs",0.068,0.052,0.018,0.014,0.076,0.017,0.080,0.005,0.011,0.008,0.025,0.008,0.019,0.039,0.058,0.072
'1481286171950993418,"Devojka nikoga nije uvredila, nijednom.
Stoički podnosi uvrede, pretnje i govore mržnje.
#nisamprijavila https://t.co/L4YULJEP6R",0.012,0.129,0.001,0.025,0.102,0.001,0.043,0.082,0.016,0.052,0.003,0.039,0.026,0.062,0.053,0.011
'1481281184982343686,"@[user] i ja radimo istraživanje o tzv. osvetničkoj pornografiji. Nadamo se da nemate ovakvih iskustava - ali u slučaju da želite nešto podijeliti s nama (ili znate nekoga tko bi želio), evo linka: https://t.co/v32bjnGsg9
(na ""našem"", za priče iz regije) #nisamprijavila",0.006,0.152,0.029,0.042,0.097,0.043,0.063,0.081,0.013,0.027,0.031,0.018,0.022,0.022,0.087,0.012
'1481255919921025026,Mizgonija na twitteru #NisamPrijavila gde ste sad https://t.co/rvNaVmTRRa,0.015,0.114,0.004,0.034,0.074,0.056,0.010,0.069,0.068,0.000,0.022,0.046,0.034,0.018,0.033,0.042
'1481247781088022534,"Žene iz zemalja bivše Jugoslavije danima objavljuju pod hashtagom #nisamprijavila. njihova traumatska iskustva na temu muškog nasilja nad ženama. Puna solidarnost s pokretom #nisamprijavila! @[user] 

https://t.co/S9Zy7QWVie https://t.co/UU1u5OjxwG",0.002,0.136,0.029,0.048,0.027,0.025,0.099,0.145,0.059,0.040,0.016,0.056,0.017,0.057,0.069,0.002
'1481245402502516736,@[user] Posle kad ti se opusti ruka bude #nisamprijavila,0.029,0.120,0.070,0.058,0.101,0.024,0.097,0.080,0.087,0.043,0.049,0.057,0.001,0.003,0.005,0.022
'1481244340060053505,Volle Solidarität mit allen Betroffenen von patriarchaler Gewalt &amp; der #nisamprijavila (ich habe es nicht angezeigt) Bewegung! Potpuna solidarnost sa svim ženskim osobama koje su pogođene patrijarhalnim nasiljem! ❤️ @[user] @[user] @[user] https://t.co/Srgab1uH5b,0.054,0.132,0.005,0.032,0.073,0.010,0.026,0.007,0.013,0.031,0.039,0.030,0.024,0.033,0.039,0.053
'1481241685946470403,"Unter dem Hashtag #nisamprijavila (""Ich habe es nicht angezeigt"") veröffentlichen seit Tagen Frauen aus ehemaligen jugoslawischen Staaten
ihre traumatischen Erfahrungen zum Thema Männergewalt gegen Frauen. Volle Solidarität m d #nisamprijavila Bewegung!

https://t.co/S9Zy7QWVie https://t.co/MsG41vUGck",0.012,0.111,0.037,0.012,0.018,0.018,0.115,0.066,0.030,0.038,0.007,0.035,0.004,0.014,0.047,0.034
'1481196419566477312,@[user] @[user] @[user] @[user] Osim toga na tom profilu je retvitovao sebe! Toliko jadno.. Sada je @[user] obrisala sve što nema veze sa #NisamPrijavila,0.037,0.126,0.015,0.040,0.071,0.007,0.048,0.039,0.020,0.016,0.033,0.048,0.019,0.024,0.045,0.022
'1481188441736060931,"dovoljan je hešteg. trust no one.
#nisamprijavila #nisamprijavio",0.039,0.089,0.007,0.008,0.115,0.008,0.090,0.060,0.074,0.049,0.051,0.014,0.013,0.037,0.052,0.046
'1481025156365664264,#NisamPrijavila uputstvo za roditelje https://t.co/D5zORsaQEW,0.098,0.130,0.023,0.016,0.094,0.015,0.039,0.056,0.057,0.023,0.053,0.049,0.002,0.024,0.078,0.053
'1480963901718077442,"@[user] @[user] @[user] @[user] @[user] Da li si na naslovnu stavila hastag #nisamprijavila ? Jesi. Da li su na nalogu samo tvitovi koji su pisani pod tim hastagom? Jesu. Da li nalog glasi - podrska zenama koje su prezivele nasilje? Da. Ko vodi nalog, koja je svrha, kome ce se žene obracati ako pišu poruke? To ne znamo https://t.co/42VoT4ebAm",0.019,0.111,0.017,0.061,0.012,0.002,0.077,0.020,0.021,0.001,0.014,0.057,0.060,0.047,0.053,0.032
'1480951480291053569,"@[user] @[user] @[user] @[user] Neko koga ti ne poznaješ ti da pass svog naloga da ga ti preuzmeš? Vidi, nov nalog može da se napravi, da se ugasi njegov itd. Sad znači da si ti zvanično preuzela sve one #nisamprijavila priče koje će postati tvoj tw nalog?Lično ne želim da moj iskaz bude deo tog naloga, kapiraš",0.016,0.156,0.009,0.034,0.062,0.031,0.118,0.022,0.024,0.017,0.054,0.014,0.023,0.064,0.036,0.036
'1480949048144281605,#NisamPrijavila jer on je moj otac i otac moje četvoro djece... https://t.co/NcQxLYsa3z,0.074,0.088,0.021,0.106,0.099,0.020,0.074,0.015,0.069,0.004,0.016,0.031,0.002,0.047,0.063,0.069
'1480948432143536136,"Evo ga.. sad je sasvim nas.
Ceka aministratora/ku, odnosno osobu koja bi ga vodila u najboljem interesu onih koji su pisali i podrzali kampanju #nisamprijavila #nisamprijavio https://t.co/INSGlFZFow",0.044,0.112,0.032,0.035,0.102,0.040,0.067,0.058,0.001,0.030,0.021,0.083,0.043,0.017,0.035,0.004
'1480947359412637699,"Uz to koristio nalog #nisamprijavila za samopromociju, na najgori mogući način, preko žena koje su imale užasna iskustva. https://t.co/FrZ9GZkAg7 https://t.co/RwU2mGeL33",0.058,0.144,0.036,0.005,0.060,0.012,0.062,0.010,0.000,0.033,0.008,0.042,0.041,0.059,0.060,0.017
'1480943247983796224,"Dobar dan, dobro došli. Profil je napravljen u svrhu pre svega podrške. Možemo podeliti iskustva, javno i anonimno. Svaki vid nasilja dolazi u obzir. Psihičko, emotivno, fizičko, seksualno, emotivno, cyber nasilje i tako dalje. Svaki pol dolazi u obzir. Pomozimo ! #NisamPrijavila",0.031,0.116,0.011,0.035,0.070,0.082,0.072,0.076,0.047,0.043,0.039,0.064,0.041,0.066,0.075,0.009
