sample_idx,tweet_pos,tweet_id,text,n_total_votes,n_dontknow_votes,n_valid_votes,top_vote_count_no_dontknow,top_labels_no_dontknow,strict_majority_label_no_dontknow,unique_highest_frequency_label_no_dontknow,chatgpt_label,matches_majority_no_dontknow,matches_unique_highest_frequency_no_dontknow,label_counts_no_dontknow_json
18,0,1475246429920800779,"@[user] 👏👏👏😂😂😂#energija...
#NisamPrijavila jer me niko nikad nije zlostavljao posto sam sama, a sebe niko ne prijavljuje...",7,2,5,3,Emocionalno neutralno,Emocionalno neutralno,Emocionalno neutralno,radost,false,false,"{""Emocionalno neutralno"": 3, ""radost"": 2}"
18,1,1475464657313972224,"#NisamPrijavila i ne znam da li ću ikada.
Zato što se bojim za svoj život.
Zato što sam godinama psihički zlostavljana i ne znam da li imam snage da prijavim.
Zato što je mala opština i poznaje sve policajce koji su mu i prijatelji.
Zato što me nije nikada 'jako' udario, kako  ⬇️",7,0,7,7,strah,strah,strah,strah,true,true,"{""strah"": 7}"
18,2,1475199244525056006,"Zastrasujuca i porazavajuca je kolicina  #nisamprijavila tvitova. 😔

NE znaci NE, i tu nema nikakve polemike, to mora da se utuvi muskarcima u glavu od malena",7,1,6,3,bes,,bes,tuga,false,false,"{""bes"": 3, ""strah"": 1, ""tuga"": 2}"
18,3,1475378419517075457,"#nisamprijavila Jebem li vam svima majku koji ste svaku zenu dotakli mimo njihove volje!! Vratice se vasim cerkama,sestrama....",7,0,7,6,bes,bes,bes,bes,true,true,"{""bes"": 6, ""radost"": 1}"
18,4,1478124060903198733,"@[user] ali i ti se mešaš u stvari koje očigledno ne razumeš. ne podržavaš #nisamprijavila i pošto te očigledno boli kurac, samo pokazuješ time da si i ti deo problema i ovo nije prvi put da komentarišeš nešto ovako. ako ne razumeš o čemu pričaš, nemoj se ni mešati.",7,0,7,5,bes,bes,bes,bes,true,true,"{""Emocionalno neutralno"": 2, ""bes"": 5}"
18,5,1475149478285905920,"Iskreno citam #nisamprijavila i mogu vam reći Moje ♥️ JE sa Vama. Ja ne mogu da verujem kolilo tih slucajeva postoji i ko sve živi u nasoj blizini.

Drzite se.",7,0,7,4,poverenje,poverenje,poverenje,tuga,false,false,"{""Emocionalno neutralno"": 1, ""iznenađenje"": 1, ""poverenje"": 4, ""tuga"": 1}"
18,6,1476929713465667586,"Taj pakao ne može da se prekine, samo se produbljuje i nema kraja.

Neću da ti dam da vodiš dete nigde, ubiću te… Osećaj krivice… Možda stvarno završi kao neka od žena… 

#Nisamprijavila jer dolaziće policija, porodicu svi znaju…

I da, #samesmo",7,0,7,3,strah,,strah,strah,false,true,"{""Emocionalno neutralno"": 1, ""bes"": 2, ""strah"": 3, ""tuga"": 1}"
18,7,1475093978076917768,"#NisamPrijavila jer smo bili u vezi i ""voleli se"", a i zato što to nisam tada razumela..Pa šta ako smo se posvađali toliko da je njemu bilo ok da mi stavi ruke oko vrata da me davi? Pa šta ako smo se tukli u hodniku zgrade? Pa šta ako niko nije otvorio vrata i pozvao policiju?",7,1,6,2,bes,,bes,strah,false,false,"{""Emocionalno neutralno"": 1, ""bes"": 2, ""iščekivanje"": 1, ""strah"": 1, ""tuga"": 1}"
18,8,1475078474268389377,"što pre došlo do reforme istog, u kom su institicijalizovana mizoginija i princip ""slika, ili se nije desilo"" i te kako prisutni. ovim putem želim istovremeno da pružim ogromnu podršku za hrabrost svim #nisamprijavila i #nisisama žrtvama! zajedno smo u ovome! &lt;3",7,1,6,4,poverenje,poverenje,poverenje,poverenje,true,true,"{""Emocionalno neutralno"": 1, ""poverenje"": 4, ""radost"": 1}"
18,9,1475048580058693637,"#nisamprijavila .... roman veka, pisan od strane žena koje srećemo, poznajemo, rod su nam, roman namenjen nama, muškarcima. Njima veeeliko ♥️, nama jak stomak i preispitivanje, iskreno.",7,1,6,4,radost,radost,radost,gađenje,false,false,"{""Emocionalno neutralno"": 1, ""poverenje"": 1, ""radost"": 4}"
18,10,1475547952278028291,@[user] @[user] Evo ti hashtag #NisamPrijavila. Što čekaš. Reagiraj. Bori se.,7,2,5,3,Emocionalno neutralno,Emocionalno neutralno,Emocionalno neutralno,iščekivanje,false,false,"{""Emocionalno neutralno"": 3, ""iščekivanje"": 2}"
